cntry.code,CPIA2023
ABW,
AFE,2.394736842
AFG,1
AFW,2.925
AGO,
ALB,
AND,
ARB,2.083333333
ARE,
ARG,
ARM,
ASM,
ATG,
AUS,
AUT,
AZE,
BDI,1.5
BEL,
BEN,3.5
BFA,3
BGD,2.5
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BMU,
BOL,
BRA,
BRB,
BRN,
BTN,4.5
BWA,
CAF,2.5
CAN,
CEB,
CHE,
CHI,
CHL,
CHN,
CIV,4
CMR,3
COD,2.5
COG,2.5
COL,
COM,2
CPV,4.5
CRI,
CSS,3.9
CUB,
CUW,
CYM,
CYP,
CZE,
DEU,
DJI,3
DMA,4
DNK,
DOM,
DZA,
EAP,3.107142857
EAR,2.931034483
EAS,3.107142857
ECA,2.875
ECS,2.875
ECU,
EGY,
EMU,
ERI,1
ESP,
EST,
ETH,3
EUU,
FCS,2.390625
FIN,
FJI,3.5
FRA,
FRO,
FSM,3.5
GAB,
GBR,
GEO,
GHA,3.5
GIB,
GIN,2.5
GMB,3
GNB,1.5
GNQ,
GRC,
GRD,4
GRL,
GTM,
GUM,
GUY,3
HIC,3
HKG,
HND,2.5
HPC,2.526315789
HRV,
HTI,1.5
HUN,
IBD,
IBT,2.817567568
IDA,2.817567568
IDB,3.366666667
IDN,
IDX,2.677966102
IMN,
IND,
INX,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,
KEN,3.5
KGZ,2.5
KHM,2
KIR,3.5
KNA,
KOR,
KWT,
LAC,3.142857143
LAO,2.5
LBN,
LBR,2.5
LBY,
LCA,4.5
LCN,3.125
LDC,2.488636364
LIC,2.229166667
LIE,
LKA,3
LMC,2.935897436
LMY,2.815068493
LSO,3
LTE,3.416666667
LTU,
LUX,
LVA,
MAC,
MAF,
MAR,
MCO,
MDA,
MDG,2.5
MDV,3
MEA,2.25
MEX,
MHL,3.5
MIC,3.102040816
MKD,
MLI,2
MLT,
MMR,1.5
MNA,2.25
MNE,
MNG,
MNP,
MOZ,2
MRT,3
MUS,
MWI,3
MYS,
NAC,
NAM,
NCL,
NER,3
NGA,3
NIC,1.5
NLD,
NOR,
NPL,3
NRU,
NZL,
OED,
OMN,
OSS,3.357142857
PAK,3
PAN,
PER,
PHL,
PLW,
PNG,2.5
POL,
PRE,2.485294118
PRI,
PRK,
PRT,
PRY,
PSE,
PSS,3.555555556
PST,
PYF,
QAT,
ROU,
RUS,
RWA,3.5
SAS,2.857142857
SAU,
SDN,1.5
SEN,3.5
SGP,
SLB,3
SLE,3
SLV,
SMR,
SOM,1.5
SRB,
SSA,2.666666667
SSD,1
SSF,2.666666667
SST,3.571428571
STP,3.5
SUR,
SVK,
SVN,
SWE,
SWZ,
SXM,
SYC,
SYR,
TCA,
TCD,2
TEA,3.107142857
TEC,2.875
TGO,3
THA,
TJK,2.5
TKM,
TLA,3.125
TLS,3
TMN,2.25
TON,3.5
TSA,2.857142857
TSS,2.666666667
TTO,
TUN,
TUR,
TUV,4
TZA,3
UGA,2.5
UKR,
UMC,3.75
URY,
USA,
UZB,3
VCT,4
VEN,
VGB,
VIR,
VNM,
VUT,3.5
WLD,2.817567568
WSM,4
XKX,3.5
YEM,1.5
ZAF,
ZMB,2.5
ZWE,2.5
