cntry.code,HDI23
AFG,0.496
ALB,0.81
DZA,0.763
AND,0.913
AGO,0.616
ATG,0.851
ARG,0.865
ARM,0.811
AUS,0.958
AUT,0.93
AZE,0.789
BHS,0.82
BHR,0.899
BGD,0.685
BRB,0.811
BLR,0.824
BEL,0.951
BLZ,0.721
BEN,0.515
BTN,0.698
BOL,0.733
BIH,0.804
BWA,0.731
BRA,0.786
BRN,0.837
BGR,0.845
BFA,0.459
BDI,0.439
CPV,0.668
KHM,0.606
CMR,0.588
CAN,0.939
CAF,0.414
TCD,0.416
CHL,0.878
CHN,0.797
COL,0.788
COM,0.603
COG,0.649
COD,0.522
CRI,0.833
CIV,0.582
HRV,0.889
CUB,0.762
CYP,0.913
CZE,0.915
DNK,0.962
DJI,0.513
DMA,0.761
DOM,0.776
ECU,0.777
EGY,0.754
SLV,0.678
GNQ,0.674
ERI,0.503
EST,0.905
SWZ,0.695
ETH,0.497
FJI,0.731
FIN,0.948
FRA,0.92
GAB,0.733
GMB,0.524
GEO,0.844
DEU,0.959
GHA,0.628
GRC,0.908
GRD,0.791
GTM,0.662
GIN,0.5
GNB,0.514
GUY,0.776
HTI,0.554
HND,0.645
HUN,0.87
ISL,0.972
IND,0.685
IDN,0.728
IRN,0.799
IRQ,0.695
IRL,0.949
ISR,0.919
ITA,0.915
JAM,0.72
JPN,0.925
JOR,0.754
KAZ,0.837
KEN,0.628
KIR,0.644
KOR,0.937
KWT,0.852
KGZ,0.72
LAO,0.617
LVA,0.889
LBN,0.752
LSO,0.55
LBR,0.51
LBY,0.721
LIE,0.938
LTU,0.895
LUX,0.922
MDG,0.487
MWI,0.517
MYS,0.819
MDV,0.766
MLI,0.419
MLT,0.924
MHL,0.733
MRT,0.563
MUS,0.806
MEX,0.789
FSM,0.615
MDA,0.785
MNG,0.747
MNE,0.862
MAR,0.71
MOZ,0.493
MMR,0.609
NAM,0.665
NRU,0.703
NPL,0.622
NLD,0.955
NZL,0.938
NIC,0.706
NER,0.419
NGA,0.56
MKD,0.815
NOR,0.97
OMN,0.858
PAK,0.544
PLW,0.786
PSE,0.674
PAN,0.839
PNG,0.576
PRY,0.756
PER,0.794
PHL,0.72
POL,0.906
PRT,0.89
QAT,0.886
ROU,0.845
RUS,0.832
RWA,0.578
KNA,0.84
LCA,0.748
VCT,0.798
WSM,0.708
SMR,0.915
STP,0.637
SAU,0.9
SEN,0.53
SRB,0.833
SYC,0.848
SLE,0.467
SGP,0.946
SVK,0.88
SVN,0.931
SLB,0.584
SOM,0.404
ZAF,0.741
SSD,0.388
ESP,0.918
LKA,0.776
SDN,0.511
SUR,0.722
SWE,0.959
CHE,0.97
SYR,0.564
TJK,0.691
TZA,0.555
THA,0.798
TLS,0.634
TGO,0.571
TON,0.769
TTO,0.807
TUN,0.746
TUR,0.853
TKM,0.764
TUV,0.689
UGA,0.582
UKR,0.779
ARE,0.94
GBR,0.946
USA,0.938
URY,0.862
UZB,0.74
VUT,0.621
VEN,0.709
VNM,0.766
YEM,0.47
ZMB,0.595
ZWE,0.598
