cntry.code,phdi_1990,phdi_1991,phdi_1992,phdi_1993,phdi_1994,phdi_1995,phdi_1996,phdi_1997,phdi_1998,phdi_1999,phdi_2000,phdi_2001,phdi_2002,phdi_2003,phdi_2004,phdi_2005,phdi_2006,phdi_2007,phdi_2008,phdi_2009,phdi_2010,phdi_2011,phdi_2012,phdi_2013,phdi_2014,phdi_2015,phdi_2016,phdi_2017,phdi_2018,phdi_2019,phdi_2020,phdi_2021,phdi_2022,phdi_2023
AFG,0.281,0.287,0.297,0.307,0.302,0.325,0.33,0.334,0.334,0.344,0.347,0.351,0.378,0.388,0.404,0.413,0.422,0.437,0.442,0.453,0.46,0.468,0.478,0.486,0.492,0.491,0.49,0.492,0.493,0.501,0.496,0.482,0.491,0.492
ALB,0.605,0.613,0.599,0.604,0.609,0.618,0.625,0.623,0.636,0.644,0.652,0.66,0.663,0.665,0.666,0.676,0.686,0.695,0.698,0.702,0.716,0.727,0.742,0.746,0.744,0.747,0.742,0.748,0.752,0.757,0.741,0.744,0.754,0.755
DZA,0.56,0.564,0.569,0.571,0.571,0.576,0.583,0.596,0.601,0.612,0.622,0.628,0.635,0.64,0.647,0.65,0.655,0.658,0.658,0.659,0.666,0.665,0.669,0.673,0.676,0.677,0.683,0.687,0.688,0.693,0.687,0.699,0.703,0.706
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,0.368,0.381,0.39,0.406,0.423,0.435,0.449,0.461,0.475,0.483,0.494,0.506,0.52,0.532,0.541,0.552,0.576,0.585,0.591,0.592,0.597,0.596,0.597,0.602,0.604
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,0.668,0.669,0.668,0.673,0.677,0.681,0.687,0.687,0.685,0.698,0.707,0.717,0.729,0.734,0.732,0.731,0.738,0.736,0.742,0.757,0.756,0.755,0.756,0.752,0.757,0.757,0.758,0.752,0.763,0.764,0.758,0.751,0.756,0.763
ARM,,,0.601,0.609,0.614,0.617,0.62,0.627,0.636,0.643,0.64,0.645,0.657,0.666,0.671,0.678,0.69,0.696,0.674,0.682,0.71,0.714,0.721,0.726,0.731,0.736,0.744,0.744,0.746,0.75,0.713,0.74,0.753,0.761
AUS,0.619,0.629,0.628,0.63,0.626,0.615,0.626,0.618,0.614,0.622,0.624,0.618,0.618,0.603,0.591,0.589,0.591,0.589,0.627,0.626,0.624,0.632,0.641,0.653,0.657,0.667,0.669,0.659,0.668,0.671,0.689,0.692,0.694,0.7
AUT,0.673,0.674,0.672,0.684,0.682,0.682,0.686,0.69,0.689,0.694,0.703,0.705,0.708,0.698,0.699,0.706,0.707,0.709,0.71,0.728,0.729,0.731,0.738,0.741,0.75,0.756,0.753,0.756,0.757,0.763,0.766,0.755,0.758,0.757
AZE,,,,,,0.591,0.595,0.597,0.606,0.616,0.618,0.625,0.637,0.64,0.642,0.651,0.668,0.678,0.688,0.697,0.701,0.702,0.702,0.701,0.712,0.719,0.725,0.726,0.73,0.726,0.705,0.715,0.732,0.737
BHS,0.675,0.679,0.68,0.683,0.681,0.677,0.687,0.663,0.64,0.661,0.656,0.675,0.687,0.686,0.696,0.697,0.689,0.697,0.703,0.7,0.701,0.691,0.708,0.715,0.715,0.725,0.709,0.703,0.683,0.686,0.713,0.692,0.712,0.712
BHR,0.511,0.509,0.521,0.47,0.514,0.529,0.529,0.524,0.522,0.546,0.545,0.562,0.544,0.57,0.547,0.529,0.549,0.549,0.527,0.55,0.556,0.561,0.552,0.534,0.546,0.567,0.602,0.617,0.613,0.614,0.612,0.626,0.639,0.632
BGD,0.393,0.391,0.407,0.415,0.422,0.429,0.437,0.446,0.454,0.462,0.471,0.48,0.487,0.497,0.505,0.513,0.519,0.526,0.53,0.542,0.552,0.562,0.571,0.576,0.59,0.609,0.617,0.617,0.629,0.638,0.645,0.645,0.661,0.666
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,0.514,0.585,0.557,0.595,0.609,0.611,0.619,0.626,0.622,0.601,0.622,0.649,0.641,0.646,0.617,0.613,0.609,0.616,0.594,0.681,0.617,0.647,0.658,0.682,0.688,0.71,0.671,0.69,0.677,0.682,0.696,0.666,0.671,0.666
BLZ,0.562,0.571,0.593,0.601,0.605,0.61,0.615,0.611,0.616,0.62,0.619,0.629,0.638,0.653,0.663,0.662,0.673,0.669,0.684,0.687,0.696,0.692,0.698,0.688,0.69,0.676,0.682,0.678,0.684,0.682,0.667,0.666,0.667,0.67
BEN,0.344,0.351,0.355,0.364,0.367,0.375,0.381,0.388,0.393,0.399,0.407,0.416,0.424,0.431,0.439,0.445,0.45,0.453,0.459,0.463,0.47,0.475,0.482,0.49,0.49,0.497,0.498,0.494,0.494,0.495,0.491,0.494,0.5,0.504
BTN,,,,,,,,,,,,,,,,,,,,,0.544,0.555,0.561,0.564,0.549,0.551,0.553,0.56,0.568,0.589,0.591,0.591,0.593,0.593
BOL,0.527,0.536,0.542,0.55,0.559,0.573,0.573,0.58,0.587,0.592,0.6,0.61,0.611,0.616,0.621,0.627,0.625,0.631,0.635,0.634,0.64,0.643,0.645,0.657,0.655,0.652,0.661,0.661,0.665,0.67,0.646,0.639,0.67,0.675
BIH,,,,,,,,,,,0.63,0.633,0.634,0.634,0.635,0.636,0.638,0.642,0.638,0.651,0.655,0.653,0.665,0.679,0.692,0.685,0.683,0.686,0.688,0.693,0.681,0.687,0.698,0.701
BWA,0.562,0.563,0.563,0.562,0.555,0.554,0.56,0.555,0.553,0.553,0.559,0.564,0.567,0.571,0.575,0.586,0.598,0.61,0.608,0.603,0.612,0.617,0.624,0.623,0.638,0.654,0.65,0.668,0.667,0.678,0.684,0.669,0.695,0.698
BRA,0.592,0.597,0.6,0.608,0.61,0.615,0.619,0.622,0.625,0.631,0.637,0.641,0.646,0.65,0.656,0.66,0.662,0.662,0.663,0.667,0.665,0.662,0.666,0.667,0.672,0.677,0.68,0.685,0.691,0.692,0.688,0.687,0.697,0.702
BRN,0.552,0.536,0.509,0.506,0.519,0.536,0.53,0.493,0.55,0.565,0.58,0.595,0.596,0.586,0.588,0.606,0.582,0.58,0.587,0.621,0.627,0.584,0.587,0.592,0.609,0.626,0.642,0.617,0.613,0.593,0.608,0.596,0.593,0.6
BGR,0.617,0.644,0.651,0.652,0.655,0.648,0.663,0.656,0.663,0.668,0.672,0.674,0.685,0.692,0.694,0.696,0.693,0.692,0.693,0.709,0.717,0.713,0.722,0.733,0.73,0.729,0.739,0.736,0.739,0.743,0.741,0.716,0.727,0.74
BFA,,,,,,,,,,,,,,,,0.328,0.335,0.34,0.352,0.361,0.372,0.384,0.392,0.399,0.403,0.413,0.422,0.431,0.443,0.446,0.447,0.448,0.451,0.453
BDI,0.287,0.292,0.29,0.261,0.294,0.29,0.288,0.293,0.299,0.303,0.305,0.307,0.32,0.328,0.34,0.348,0.371,0.385,0.397,0.405,0.411,0.415,0.421,0.423,0.427,0.428,0.432,0.43,0.429,0.431,0.431,0.431,0.433,0.435
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
