cntry.code,cpi24
DNK,90
FIN,88
SGP,84
NZL,83
LUX,81
NOR,81
CHE,81
SWE,80
NLD,78
AUS,77
ISL,77
IRL,77
EST,76
URY,76
CAN,75
DEU,75
HKG,74
BTN,72
SYC,72
JPN,71
GBR,71
BEL,69
BRB,68
ARE,68
AUT,67
FRA,67
TWN,67
BHS,65
USA,65
ISR,64
KOR,64
CHL,63
LTU,63
VCT,63
CPV,62
DMA,60
SVN,60
LVA,59
QAT,59
LCA,59
SAU,59
CRI,58
BWA,57
PRT,57
RWA,57
CYP,56
CZE,56
GRD,56
ESP,56
FJI,55
OMN,55
ITA,54
BHR,53
GEO,53
POL,53
MUS,51
MYS,50
VUT,50
GRC,49
JOR,49
NAM,49
SVK,49
ARM,47
HRV,47
KWT,46
MLT,46
MNE,46
ROU,46
BEN,45
CIV,45
STP,45
SEN,45
JAM,44
KSV,44
TLS,44
BGR,43
CHN,43
MDA,43
SLB,43
ALB,42
GHA,42
BFA,41
CUB,41
HUN,41
ZAF,41
TZA,41
TTO,41
KAZ,40
MKD,40
SUR,40
VNM,40
COL,39
GUY,39
TUN,39
ZMB,39
GMB,38
IND,38
MDV,38
ARG,37
ETH,37
IDN,37
LSO,37
MAR,37
DOM,36
SRB,35
UKR,35
DZA,34
BRA,34
MWI,34
NPL,34
NER,34
THA,34
TUR,34
BLR,33
BIH,33
LAO,33
MNG,33
PAN,33
PHL,33
SLE,33
AGO,32
ECU,32
KEN,32
LKA,32
TGO,32
UZB,32
DJI,31
PNG,31
PER,31
EGY,30
SLV,30
MRT,30
BOL,28
GIN,28
SWZ,27
GAB,27
LBR,27
MLI,27
PAK,27
CMR,26
IRQ,26
MDG,26
MEX,26
NGA,26
UGA,26
GTM,25
KGZ,25
MOZ,25
CAF,24
PRY,24
BGD,23
COG,23
IRN,23
AZE,22
HND,22
LBN,22
RUS,22
KHM,21
TCD,21
COM,21
GNB,21
ZWE,21
COD,20
TJK,19
AFG,17
BDI,17
TKM,17
HTI,16
MMR,16
PRK,15
SDN,15
NIC,14
GNQ,13
ERI,13
LBY,13
YEM,13
SYR,12
VEN,10
SOM,9
SSD,8
