cntry,year,freedom,cntry.code
Abkhazia,2025,39,
Afghanistan,2025,6,AFG
Albania,2025,68,ALB
Algeria,2025,31,DZA
Andorra,2025,93,AND
Angola,2025,28,AGO
Antigua and Barbuda,2025,83,ATG
Argentina,2025,85,ARG
Armenia,2025,54,ARM
Australia,2025,95,AUS
Austria,2025,93,AUT
Azerbaijan,2025,7,AZE
Bahamas,2025,90,BHS
Bahrain,2025,12,BHR
Bangladesh,2025,45,BGD
Barbados,2025,94,BRB
Belarus,2025,7,BLR
Belgium,2025,96,BEL
Belize,2025,88,BLZ
Benin,2025,60,BEN
Bhutan,2025,68,BTN
Bolivia,2025,65,BOL
Bosnia and Herzegovina,2025,52,BIH
Botswana,2025,75,BWA
Brazil,2025,72,BRA
Brunei,2025,27,BRN
Bulgaria,2025,77,BGR
Burkina Faso,2025,25,BFA
Burundi,2025,15,BDI
Cabo Verde,2025,92,CPV
Cambodia,2025,23,KHM
Cameroon,2025,15,CMR
Canada,2025,97,CAN
Central African Republic,2025,5,CAF
Chad,2025,15,TCD
Chile,2025,95,CHL
China,2025,9,CHN
Colombia,2025,70,COL
Comoros,2025,42,COM
Congo (Brazzaville),2025,17,COG
Congo (Kinshasa),2025,18,COD
Costa Rica,2025,91,CRI
Cote d'Ivoire,2025,49,CIV
Croatia,2025,82,HRV
Cuba,2025,10,CUB
Cyprus,2025,91,CYP
Czech Republic,2025,95,CZE
Denmark,2025,97,DNK
Djibouti,2025,24,DJI
Dominica,2025,92,DMA
Dominican Republic,2025,68,DOM
Ecuador,2025,65,ECU
Egypt,2025,18,EGY
El Salvador,2025,47,SLV
Equatorial Guinea,2025,5,GNQ
Eritrea,2025,3,ERI
Estonia,2025,96,EST
Eswatini,2025,17,SWZ
Ethiopia,2025,18,ETH
Fiji,2025,69,FJI
Finland,2025,100,FIN
France,2025,89,FRA
Gabon,2025,21,GAB
Gaza Strip,2025,2,
Georgia,2025,55,GEO
Germany,2025,95,DEU
Ghana,2025,80,GHA
Greece,2025,85,GRC
Grenada,2025,89,GRD
Guatemala,2025,48,GTM
Guinea,2025,30,GIN
Guinea-Bissau,2025,41,GNB
Guyana,2025,74,GUY
Haiti,2025,24,HTI
Honduras,2025,48,HND
Hong Kong,2025,40,
Hungary,2025,65,HUN
Iceland,2025,95,ISL
India,2025,63,IND
Indian Kashmir,2025,38,
Indonesia,2025,56,IDN
Iran,2025,11,IRN
Iraq,2025,31,IRQ
Ireland,2025,97,IRL
Israel,2025,73,ISR
Italy,2025,89,ITA
Jamaica,2025,80,JAM
Japan,2025,96,JPN
Jordan,2025,34,JOR
Kazakhstan,2025,23,KAZ
Kenya,2025,51,KEN
Kiribati,2025,89,KIR
Kosovo,2025,60,XKX
Kuwait,2025,31,KWT
Kyrgyzstan,2025,26,KGZ
Laos,2025,13,LAO
Latvia,2025,89,LVA
Lebanon,2025,39,LBN
Lesotho,2025,66,LSO
Liberia,2025,64,LBR
Libya,2025,10,LBY
Liechtenstein,2025,90,LIE
Lithuania,2025,89,LTU
