"cntry.code","giniMn","yrMax","yrMin"
"AGO",51.3,2018,2018
"ALB",31.6,2020,2012
"ARE",29.45,2018,2013
"ARG",42.1,2022,2010
"ARM",30.3769230769231,2022,2010
"AUS",34.275,2018,2010
"AUT",30.45,2021,2010
"BDI",38.05,2020,2013
"BEL",27.4583333333333,2021,2010
"BEN",40.825,2021,2011
"BFA",38.5666666666667,2021,2014
"BGD",32.6333333333333,2022,2010
"BGR",38.3916666666667,2021,2010
"BIH",33,2011,2011
"BLR",26.1181818181818,2020,2010
"BOL",44.8454545454545,2021,2011
"BRA",52.5666666666667,2022,2011
"BTN",34.9,2022,2012
"BWA",53.3,2015,2015
"CAF",43,2021,2021
"CAN",33.07,2019,2010
"CHE",32.7,2020,2010
"CHL",45.7166666666667,2022,2011
"CHN",39.4083333333333,2021,2010
"CIV",38,2021,2015
"CMR",44.4,2021,2014
"COD",43.4,2020,2012
"COG",48.9,2011,2011
"COL",52.4769230769231,2022,2010
"COM",45.3,2014,2014
"CPV",42.4,2015,2015
"CRI",48.3142857142857,2023,2010
"CYP",33.0166666666667,2021,2010
"CZE",25.8666666666667,2021,2010
"DEU",31.3363636363636,2020,2010
"DJI",43.6,2017,2012
"DNK",28,2021,2010
"DOM",43.6076923076923,2022,2010
"DZA",27.6,2011,2011
"ECU",45.9071428571429,2023,2010
"EGY",30.74,2019,2010
"ESP",35.2583333333333,2021,2010
"EST",32.0833333333333,2021,2010
"ETH",34.1,2015,2010
"FIN",27.3166666666667,2021,2010
"FJI",33.7,2019,2013
"FRA",32.2416666666667,2021,2010
"FSM",40.1,2013,2013
"GAB",38,2017,2017
"GBR",33.025,2021,2010
"GEO",36.9076923076923,2022,2010
"GHA",42.95,2016,2012
"GIN",31.65,2018,2012
"GMB",39.4333333333333,2020,2010
"GNB",39.6,2021,2010
"GRC",34.5833333333333,2021,2010
"GRD",43.8,2018,2018
"GTM",48.3,2014,2014
"HND",50.45,2019,2010
"HRV",30.8916666666667,2021,2010
"HTI",41.1,2012,2012
"HUN",30.1333333333333,2021,2010
"IDN",36.6357142857143,2023,2010
"IND",34.45,2021,2011
"IRL",31.7083333333333,2021,2010
"IRN",35.4833333333333,2022,2011
"IRQ",29.5,2012,2012
"ISL",26.6375,2017,2010
"ISR",39.5416666666667,2021,2010
"ITA",35.075,2021,2010
"JAM",37.9,2021,2018
"JOR",33.7,2010,2010
"JPN",32.5,2013,2010
"KAZ",27.7916666666667,2021,2010
"KEN",38.5666666666667,2021,2015
"KGZ",28.1230769230769,2022,2010
"KIR",27.8,2019,2019
"KOR",33.0444444444444,2021,2010
"LAO",37.4,2018,2012
"LBN",31.8,2011,2011
"LBR",34.25,2016,2014
"LCA",43.7,2015,2015
"LKA",38.5666666666667,2019,2012
"LSO",44.9,2017,2017
"LTU",35.9166666666667,2021,2010
"LUX",32.9083333333333,2021,2010
"LVA",35.025,2021,2010
"MAR",39.5,2013,2013
"MDA",27.6181818181818,2021,2010
"MDG",42.5,2012,2010
"MDV",30.3,2019,2016
"MEX",46.7428571428571,2022,2010
"MHL",35.5,2019,2019
"MKD",35.98,2019,2010
"MLI",35.85,2021,2018
"MLT",29.4636363636364,2020,2010
"MMR",34.4,2017,2015
"MNE",37.56,2021,2012
"MNG",32.7428571428571,2022,2010
"MOZ",52.15,2019,2014
"MRT",32.3,2019,2014
"MUS",37.65,2017,2012
"MWI",42.9,2019,2010
"MYS",41.64,2021,2011
"NAM",59.1,2015,2015
"NER",34,2021,2011
"NGA",35.55,2018,2010
"NIC",46.2,2014,2014
"NLD",27.8166666666667,2021,2010
"NOR",26.82,2019,2010
"NPL",31.4,2022,2010
"NRU",32.4,2012,2012
"PAK",29.78,2018,2010
"PAN",50.5416666666667,2023,2010
"PER",43.0692307692308,2022,2010
"PHL",43.525,2021,2012
"POL",31.1666666666667,2021,2010
"PRT",35,2021,2010
"PRY",47.4384615384615,2022,2010
"PSE",34.4666666666667,2016,2010
"QAT",35.1,2017,2017
"ROU",35.5166666666667,2021,2010
"RUS",35.675,2021,2014
"RWA",45.3333333333333,2016,2010
"SDN",34.2,2014,2014
"SEN",38.2666666666667,2021,2011
"SLB",37.1,2012,2012
"SLE",34.85,2018,2011
"SLV",40.5333333333333,2022,2010
"SRB",37.27,2021,2012
"SSD",44.1,2016,2016
"STP",35.75,2017,2010
"SUR",39.2,2022,2022
"SVK",25.4583333333333,2021,2010
"SVN",24.9166666666667,2021,2010
"SWE",28.8083333333333,2021,2010
"SWZ",54.6,2016,2016
"SYC",39.45,2018,2013
"SYR",26.6,2022,2022
"TCD",39.4,2022,2011
"TGO",42.35,2021,2011
"THA",36.7916666666667,2021,2010
"TJK",34,2015,2015
"TLS",28.7,2014,2014
"TON",30.3,2021,2015
"TUN",34.1,2021,2010
"TUR",43.42,2021,2017
"TUV",39.1,2010,2010
"TZA",39.15,2018,2011
"UGA",42.1666666666667,2019,2012
"UKR",25.2272727272727,2020,2010
"URY",40.5769230769231,2022,2010
"USA",40.8461538461538,2022,2010
"UZB",31.2,2022,2022
"VNM",36.2285714285714,2022,2010
"VUT",34.85,2019,2010
"WSM",38.7,2013,2013
"XKX",28.2375,2017,2010
"YEM",36.7,2014,2014
"ZAF",63.2,2014,2010
"ZMB",53.1,2022,2010
"ZWE",45.9333333333333,2019,2011
