cntry,cntry.code,a1960,a1961,a1962,a1963,a1964,a1965,a1966,a1967,a1968,a1969,a1970,a1971,a1972,a1973,a1974,a1975,a1976,a1977,a1978,a1979,a1980,a1981,a1982,a1983,a1984,a1985,a1986,a1987,a1988,a1989,a1990,a1991,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.517766497,2.510121457,2.47702407,2.794028849,3.59922179,4.100963775,4.277072978,4.425833642,4.777505083,5.622020209,6.18729481,6.565660336,6.666022669,6.670840363,4.205989994,2.86046778,4.206093989,1.991637655,3.262643075,3.439352185,3.585278991,3.689024693,3.733753799,3.225018203,2.562433372,,,,,
Africa Eastern and Southern,AFE,,,,,,11.69085884,11.54760457,12.0931746,12.13245151,12.26026509,13.53384116,13.31832622,12.81062277,13.49722773,13.52285134,14.22391386,13.86134435,12.56856593,12.49846433,13.70657509,15.17342665,16.51144658,15.5825727,16.20785418,15.67367747,13.42585919,14.39942749,15.94874018,16.22387497,16.46254994,16.61718167,15.94331039,17.63115125,16.70435488,16.75727708,16.82660501,16.042106,15.73884066,15.47505679,14.79754614,14.62167141,14.73011474,14.11927849,14.48877695,14.41822762,13.58404801,12.24420391,11.89872754,11.2040301,11.75010634,11.35685389,10.77588755,10.57839776,10.18896023,10.02722779,10.32852366,10.68073456,10.91195281,10.83945109,10.78412014,10.44749778,10.41140698,10.53878349,10.62825427,10.37315158
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,4.114196613,3.530422461,6.160177217,7.043181081,7.528114629,8.493156816,10.19026196,7.540916863,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,21.57516743,20.9636347,19.63825764,15.25299928,17.32578012,18.06974086,15.87492854,16.71888141,14.84870525,14.93004017,15.75407866,14.40195032,15.60225744,18.52237802,19.01262176,18.2747132,18.74048322,17.37494975,13.63630473,12.61375691,12.56182498,11.57816676,11.62946297,10.77405212,10.4626605,9.731452298,9.607951384,9.474673998,9.281586665,8.145770936,8.72298694,8.675762367,9.959178572,10.41061914,10.1627997,9.873932886,9.959297517,10.43108168,11.34854243,11.97400423,13.21544705,12.81575623,13.27808137,11.50409329
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.646280794,3.445749994,4.378391184,6.259370843,3.222875779,2.890163321,3.873100814,3.661825665,3.999814529,4.681938309,3.912883549,3.612815774,3.39949164,3.461736807,5.109421549,4.541774035,4.167804733,4.403289533,4.827342652,4.763071572,5.685144803,6.752680742,6.580549657,6.059469233,6.137446984,7.063042725,6.540512976,7.449768699,7.990984694,8.257191284
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.779267964,5.554143543,5.183018603,5.131688159,5.065613558,4.711459153,4.339241272,4.307757976,4.343207119,4.474331529,4.794124735,5.309709539,5.731781571,5.422752704,5.656708948,5.960640217,6.192222426,5.37937813,5.747654228,5.907101717,6.27591543,6.303405541,6.516401133,6.708115065,6.967485863,7.069413941,6.91828942,7.504617489,6.877725681,6.169568203
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.830854431,3.451746698,3.43814817,3.615787889,3.655047886,3.476748213,3.435046622,3.398816388,3.576934384,3.612316813,3.699789802,3.660604015,3.723835042,3.838156155,3.676873663,3.706089854,3.74112486,3.748832726,3.610284486,3.673689514,3.733569332,4.063721776,3.575667147,3.397436996,
Arab World,ARB,,,,,,,,,,,,,,,,7.361187604,6.892167244,6.898338002,7.08475514,6.876633342,6.318900738,7.390507313,7.976371978,8.92311775,9.857960278,10.18631432,10.98486176,11.73175699,12.71928134,12.62270567,9.702239108,11.06399757,11.22834076,11.11741881,11.36402541,12.19864385,12.56990604,12.70539534,13.31693649,12.93198821,13.02072996,11.36743866,11.66514744,11.52430283,10.79326337,9.890893995,9.401635094,9.211320903,8.788627131,9.87095008,9.802044067,9.370533865,9.319929798,9.4100398,9.944270289,10.78763639,11.01388885,10.69398422,10.36381882,10.40316731,11.40099346,11.92499896,12.15458594,12.36125157,11.99146954
United Arab Emirates,ARE,,,,,,,,,,,,,,,,0.910603125,1.12309252,2.744072022,3.4321661,3.057567543,3.728083743,6.412373069,7.92687202,8.769752627,9.14469269,8.927517175,8.275618545,8.774491087,8.840712483,8.166576883,7.493888516,7.423063916,7.583671501,7.843780607,6.587692746,6.772462657,6.637292654,7.895500625,8.631087315,8.557489537,9.072000292,13.31375919,13.06347632,12.26246108,11.51238292,10.60803974,9.656954628,9.025577573,8.600265388,9.195377117,8.475421755,8.14829316,8.085036374,7.925744268,8.115294535,9.175893354,9.327460912,9.381380823,8.925789792,8.867353109,10.29178004,10.0017515,9.820747879,10.84579034,
Argentina,ARG,,,,,,41.18416018,41.00858489,37.82402724,36.19621884,36.64543034,31.54474366,35.76285897,36.35807353,34.33397467,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,14.0601434,13.54083907,14.59052951,15.55841698,16.30184228,16.31749874,15.08686199
