country,cntry.code,poltype2025,polcode2025
Afghanistan,AFG,dictatorship,5
Albania,ALB,centre-left,-1
Algeria,DZA,left wing,-2
Andorra,AND,centre-right,2
Angola,AGO,left wing,-2
Anguilla,AIA,,0
Antigua and Barbuda,ATG,centre-left,-1
Argentina,ARG,populist/authoritarian right,4
Armenia,ARM,centre-left,-1
Aruba,ABW,,0
Australia,AUS,centre-left,-1
Austria,AUT,centre-right,2
Azerbaijan,AZE,dictatorship,5
Bahamas,BHS,centre-left,-1
Bahrain,BHR,powerful monarchic system,6
Bangladesh,BGD,left wing,-2
Barbados,BRB,centre-left,-1
Belarus,BLR,dictatorship,5
Belgium,BEL,centre-right,2
Belize,BLZ,centre-left,-1
Benin,BEN,centre-left,-1
Bermuda,BMU,,0
Bhutan,BTN,powerful monarchic system,6
Bolivia,BOL,left wing,-2
Bonaire,BON,,0
Bosnia Herzegovina,BIH,centre-left,-1
Botswana,BWA,centre-left,-1
Brazil,BRA,left wing,-2
British Virgin Islands,VGB,,0
Brunei,BRN,powerful monarchic system,6
Bulgaria,BGR,centrist,0
Burkina Faso,BFA,dictatorship,5
Burundi,BDI,dictatorship,5
Cambodia,KHM,dictatorship,5
Cameroon,CMR,dictatorship,5
Canada,CAN,centre-left,-1
Cape Verde,CPV,centre-right,2
Cayman Islands,CYM,,0
Central African Republic,CAF,dictatorship,5
Chad,TCD,dictatorship,5
Channel Islands,CHI,,0
Chile,CHL,left wing,-2
China,CHN,dictatorship,5
China Hong Kong SAR,HKG,,0
China Macao SAR,MAC,,0
Colombia,COL,left wing,-2
Comoros,COM,centre-left,-1
Congo,COG,dictatorship,5
Congo Democratic Republic,COD,centre-left,-1
Cook Islands,COK,,0
Costa Rica,CRI,centre-right,2
Cote dIvoire,CIV,populist/authoritarian right,4
Croatia,HRV,centre-right,2
Cuba,CUB,dictatorship,5
Curacao,CUW,,0
Cyprus,CYP,centrist,0
Czech Republic,CZE,centre-right,2
Denmark,DNK,centre-left,-1
Djibouti,DJI,dictatorship,5
Dominica,DMA,centre-left,-1
Dominican Republic,DOM,centre-left,-1
Ecuador,ECU,centrist,0
Egypt,EGY,dictatorship,5
El Salvador,SLV,centre-right,2
