cntry.code,a1960,a1961,a1962,a1963,a1964,a1965,a1966,a1967,a1968,a1969,a1970,a1971,a1972,a1973,a1974,a1975,a1976,a1977,a1978,a1979,a1980,a1981,a1982,a1983,a1984,a1985,a1986,a1987,a1988,a1989,a1990,a1991,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95600677,24.84210526,24.31436907,27.08487085,20.6501297,23.7146427,19.18930861,12.20715893,14.64646238,17.24833362,-1.652954196,13.10423217,2.917363693,15.34510614,11.17491343,4.648618754,-1.240147758,5.750847588,6.98215053,10.71005339,14.98839958,15.52923708,14.31095118,12.34207625,16.72200145,1.355999297,9.935382414,17.20517866,17.56660108,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26007756,15.86980718,16.30607261,19.31834277,18.50681627,,,,,,,,20.64430966,20.79860168,22.50905697,23.0967815,23.99111974,23.80833914,22.37551609,18.59995786,21.09185629,21.50486963,18.55662554,17.98878509,18.23541159,16.99931674,17.79763007,17.77401938,17.49328114,18.85613996,18.83374124,21.14749892,20.6900433,20.12354829,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.737769441,,,,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.87681625,26.05546133,33.53600551,41.18765335,43.45458359,41.49897023,38.65885864,27.65787363,36.9873386,37.88854984,37.23299841,31.9785712,29.85796511,24.81755493,24.01749017,23.09966944,25.09992382,32.10299532,28.06598155,38.29084766,36.62240768,28.37050423,29.9213759
ALB,,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000044,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.109843221,18.76175008,19.23703688,8.841585231,20.43471538,19.54214029,29.27782996,32.36919134,29.18838407,29.33397447,31.66423895,31.78878463,30.89470358,25.57671855,18.10295063,17.45233465,21.28972766,21.01247473,19.45280624,19.82514598,17.54782441,19.28428605,19.31983396,20.37591784,20.5134894,17.45293238,17.65979035,21.14962643,21.03459623,21.96512315,22.02146338
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.59131363,-2.515241109,,,,,,,,,,,,,,41.59968198,42.98546229,42.43190007,45.01152726,31.88948298,37.21622737,41.03813491,39.78735916,37.41795017,33.34667882,24.28540722,23.65415258,27.176346,30.29903121,28.83903272,21.71206746,29.69034309,35.94296285,28.76514426,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,34.04870673,32.50771111,30.13869344,25.21609673,22.98843021,19.88025687,18.35859879,18.53762718,17.62144462,,14.78339166,15.19774973,,13.63018238,16.04337523,13.56185603,13.65164279,16.25052791,15.64836245,16.51163227,17.13007736,16.66428243,16.12973433,13.66191638,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.41722954,22.23144417,21.1268024,18.3213663,17.33185579,17.33321655,16.20994513,15.19446637,15.90902761,14.3058273,14.62225497,13.06884858,11.39391541,13.69079544,15.01213532,19.41289511,17.21993712,15.89174178,15.19049747
