cntry,cntry.code,cantril,enjoy,smile,wellrested,pain,sadness,worry,anger,overall
Afghanistan,AFG,206,176,212,105,141,189,146,158,186
Albania,ALB,144,153,154,175,176,167,159,180,181
Algeria,DZA,118,188,173,131,166,29,139,172,151
Angola,AGO,179,191,178,128,209,187,213,129,196
Argentina,ARG,81,73,15,60,156,143,177,96,95
Armenia,ARM,189,212,190,215,173,212,206,211,213
Australia,AUS,9,75,101,127,42,88,83,65,68
Austria,AUT,12,88,107,41,10,13,15,13,11
Azerbaijan,AZE,149,184,196,200,124,135,54,150,165
Bahrain,BHR,105,148,140,38,198,185,182,205,168
Bangladesh,BGD,168,155,189,179,102,156,88,93,154
Belarus,BLR,119,192,193,198,86,147,33,76,139
Belgium,BEL,35,84,74,145,99,87,142,112,91
Belize,BLZ,98,116,122,34,120,180,136,167,130
Benin,BEN,208,197,152,204,196,160,178,157,201
Bhutan,BTN,137,77,85,1,168,11,158,195,99
Bolivia,BOL,112,123,118,144,177,209,208,192,178
Bosnia,BIH,141,189,197,209,114,126,188,190,189
Botswana,BWA,190,140,132,141,133,121,55,86,133
Brazil,BRA,75,102,115,163,153,151,192,116,144
Bulgaria,BGR,184,178,185,194,78,172,132,32,160
Burkina Faso,BFA,195,194,184,182,165,159,170,126,194
Burundi,BDI,212,161,205,149,104,89,99,107,153
Cambodia,KHM,194,96,108,158,144,210,196,179,180
Cameroon,CMR,170,182,164,147,200,164,167,149,187
Canada,CAN,5,23,23,104,88,97,144,84,65
CAR,CAF,215,202,183,140,215,207,211,176,211
Chad,TCD,196,180,207,132,199,175,169,173,198
Chile,CHL,80,76,64,150,161,157,180,137,134
China,CHN,140,49,110,8,8,2,12,83,30
Colombia,COL,90,82,52,26,139,174,164,142,106
Comoros,COM,211,137,180,134,143,6,23,127,127
Congo Brazzaville,COG,182,187,172,135,186,190,157,162,193
Congo Kinshasa,COD,175,166,200,53,185,133,119,152,164
Costa Rica,CRI,25,66,2,27,138,142,156,124,80
Croatia,HRV,117,190,155,172,95,108,199,34,147
Cyprus,CYP,95,95,114,205,112,183,190,168,162
Czech Republic,CZE,83,108,156,183,83,42,124,163,123
Denmark,DNK,1,2,111,109,68,35,93,42,38
Djibouti,DJI,160,128,202,76,147,66,6,138,118
Dominican Republic,DOM,151,141,113,133,172,194,186,105,166
Ecuador,ECU,107,80,31,31,151,184,183,131,112
Egypt,EGY,176,205,182,159,208,202,187,201,207
El Salvador,SLV,100,91,11,18,179,182,184,143,116
Estonia,EST,129,105,176,186,45,117,115,8,110
Eswatini,SWZ,138,74,83,39,158,130,52,141,98
Ethiopia,ETH,180,157,157,189,62,136,28,132,138
Finland,FIN,4,93,99,122,51,15,130,1,51
France,FRA,76,98,95,176,111,99,114,170,122
Gabon,GAB,181,204,168,174,184,173,174,174,199
Georgia,GEO,193,196,214,213,125,102,38,188,177
Germany,DEU,74,101,116,78,39,71,17,52,58
Ghana,GHA,165,170,98,43,175,139,47,108,124
Greece,GRC,132,143,148,195,110,162,200,178,176
Guatemala,GTM,94,86,14,21,170,179,173,133,107
Guinea,GIN,207,156,162,180,206,166,204,144,197
Haiti,HTI,203,200,194,170,191,200,116,186,202
Honduras,HND,136,106,35,22,154,177,165,104,114
Hungary,HUN,147,125,181,207,127,148,155,115,170
